104.17.140.73:443#SJC-San Jose-飞牛优选01
104.17.157.145:443#SJC-San Jose-飞牛优选02
104.17.154.211:443#SJC-San Jose-飞牛优选03
104.17.148.181:443#SJC-San Jose-飞牛优选04
104.17.151.161:443#SJC-San Jose-飞牛优选05
104.17.145.220:443#SJC-San Jose-飞牛优选06
104.17.149.134:443#SJC-San Jose-飞牛优选07
104.17.156.191:443#SJC-San Jose-飞牛优选08
104.17.142.220:443#SJC-San Jose-飞牛优选09
104.17.136.2:443#SJC-San Jose-飞牛优选10
172.67.68.214:443#HKG-Hong Kong-亚洲优选01
104.20.23.169:443#HKG-Hong Kong-亚洲优选02
104.20.31.224:443#HKG-Hong Kong-亚洲优选03
104.20.24.6:443#HKG-Hong Kong-亚洲优选04
104.20.30.200:443#HKG-Hong Kong-亚洲优选05
172.67.71.183:443#HKG-Hong Kong-亚洲优选06
104.20.22.40:443#HKG-Hong Kong-亚洲优选07
162.159.145.251:443#HKG-Hong Kong-亚洲优选08
172.67.74.109:443#HKG-Hong Kong-亚洲优选09
104.20.27.255:443#HKG-Hong Kong-亚洲优选10
